Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
abyss_ecoli_ass	836	93	73	66	53	31	4609549	4545358	4497901	4445550	4243269	3468085	107	268126	4555493	50.75	112479	29440	114322.4	15	48	234.62
spades_ecoli_ass	553	61	48	43	39	25	4686608	4566892	4539340	4504123	4440561	3914996	69	414005	4572278	50.74	178300	40969	185100.3	9	30	30.62
spades_hyb_ecoli_ass	267	53	42	39	39	25	4622092	4571654	4545628	4524192	4524192	3993598	58	433760	4575014	50.74	178278	41649	195798.8	9	28	24.94
